"url","isframable","toplevelpage:isframable","reason","X-frame-options header"
"amazon.ca","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"amazon.co.jp","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"bbc.com","False","True","None","[None]"
"booking.com","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"bp.blogspot.com","False","Did not resolve","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"bp3.blogger.com","False","Did not resolve","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"brandbucket.com","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"de.wikipedia.org","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"en.wikipedia.org","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"europa.eu","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"ggpht.com","False","Did not resolve","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"godaddy.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"gofundme.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"harvard.edu","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"ig.com.br","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"iso.org","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"lifehacker.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"lycos.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"microsoft.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"msn.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"picasa.google.com","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"plos.org","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"shutterstock.com","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"surveymonkey.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"thoughtco.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"transandfiestas.ga","False","Connection Reset","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"vk.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"walmart.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"wiktionary.org","False","True","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","[None]"
"adweek.com","True","True","None","[None]"
"blog.fc2.com","True","True","None","[None]"
"britannica.com","True","True","None","[None]"
"ca.gov","True","True","None","[None]"
"foxnews.com","True","True","None","[None]"
"gooyaabitemplates.com","True","True","None","[None]"
"nps.gov","True","True","None","[None]"
"people.com","True","True","None","[None]"
"reuters.com","True","True","None","[None]"
"washingtonpost.com","True","True","None","[None]"
"wired.com","True","True","None","[None]"
"academia.edu","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"adobe.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"amazon.de","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"answers.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"books.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"calameo.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"cambridge.org","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"cloudflare.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"deezer.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"ebay.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"ed.gov","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"fandom.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"finance.yahoo.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"forbes.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"get.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"goo.gl","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"google.co.in","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"google.de","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"google.es","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"google.nl","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"googleblog.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"greenpeace.org","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"groups.yahoo.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"instagram.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"linkedin.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['sameorigin']"
"mail.ru","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"my.yahoo.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"myspace.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"namesilo.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"networkadvertising.org","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"news.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"nokia.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"orange.fr","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['sameorigin']"
"php.net","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"policies.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"rediff.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"researchgate.net","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"rt.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"stanford.edu","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"steamcommunity.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"terra.com.br","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"thenextweb.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"theverge.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"tinyurl.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"twitch.tv","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"usgs.gov","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"wordpress.org","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"youtu.be","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"youtube.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"zdnet.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN']"
"accounts.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN' 'DENY']"
"mail.google.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['SAMEORIGIN' 'DENY']"
"dropbox.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"fb.me","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"hm.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"newscientist.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"offset.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"whitehouse.gov","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY']"
"huffpost.com","False","False","SecurityError: Blocked a frame with origin http://localhost:4000 from accessing a cross-origin frame.","['DENY'  'SAMEORIGIN']"
